full_text,normalized,label_num,pseudo_label
Kondisi di Wakanda bikin gemes mau #KaburAjaDulu. Di Jepang gempa mulu bikin mau #PulangAjaDulu. Halp,kondisi di wakanda bikin gemas mau kaburajadulu di jepang gempa mulu bikin mau pulangajadulu halp,2,negatif
@adith_wp #KaburAjaDulu ke tempat yang minim resiko. IKN mungkin? Kan katanya minim resiko #eh,kaburajadulu ke tempat yang minim resiko ikn mungkin kan katanya minim resiko eh,2,negatif
manifesting bisa ngetweet pakai hastag #KaburAjaDulu,manifesting bisa ngetweet pakai hastag kaburajadulu,1,neutral
Tren Brain Drain mjd ramai ketika #kaburajadulu di Twitter mencuat. Byk influencer yg sdh lbh dulu berkarier di luar mengajak kita utk ke luar dg berbagai macam alasan. Emangnya Brain Drain itu solusi? Yuk cari jawabannya di podcast saya bersama Mas Ozan: https://t.co/Bdztmh4zFV,tren brain drain mjd ramai ketika kaburajadulu di twitter mencuat banyak influencer yang sudah lebih dulu berkarier di luar mengajak kita untuk ke luar dengan berbagai macam alasan memangnya brain drain itu solusi yuk cari jawabannya di podcast saya bersama mas ozan,1,neutral
FYI buat yang #KaburAjaDulu,fyi buat yang kaburajadulu,2,negatif
@ezash @__airu___ @muhraufan @adith_wp Nyari info #KaburAjaDulu kah? Wkwkw ,mencari info kaburajadulu kah wkwkw,1,neutral
#KaburAjaDulu ke Jepang :,kaburajadulu ke jepang,2,negatif
Jepang dulu juga punya mindset yang sama. Makanya lemah di Software. Ya menguntungkan kita juga sih karena jadi banyak org Indo yg #KaburAjaDulu gabung ke startup Jepang. Indo mau niru gitu juga?,jepang dulu juga punya mindset yang sama makanya lemah di software ya menguntungkan kita juga sih karena jadi banyak orang indonesia yang kaburajadulu gabung ke startup jepang indonesia mau meniru begitu juga,2,negatif
Bismillah mulai nyeriusin belajar bahasa asing buat #kaburajadulu dimulai dari bahasa inggris dulu.,bismillah mulai nyeriusin belajar bahasa asing buat kaburajadulu dimulai dari bahasa inggris dulu,1,neutral
bismillah semoga bisa #KaburAjaDulu di 2025 nanti. selalu bikin ill feel tiap kepikiran pajak yang dibayar buat pemerintah yang dan semoga bisa bantu teman dan keluarga buat kabur juga sebelum ni negara bubar dengan sendirinya,bismillah semoga bisa kaburajadulu di nanti selalu bikin ill feel tiap kepikiran pajak yang dibayar buat pemerintah yang dan semoga bisa bantu teman dan keluarga buat kabur juga sebelum nih negara bubar dengan sendirinya,2,negatif
dahlah fix #KaburAjaDulu,dahlah fix kaburajadulu,2,negatif
#KaburAjaDulu .NET ,kaburajadulu net,1,neutral
@txtcybr Harus #kaburajadulu ya bang,harus kaburajadulu ya abang,2,negatif
@asepbensin15k Btuls #kaburajadulu,btuls kaburajadulu,2,negatif
Kayanya karena tweet lowongan dan #KaburAjaDulu beberapa hari lalu banyak follower baru... Untuk yang baru follow Halo!,kayanya karena tweet lowongan dan kaburajadulu beberapa hari lalu banyak follower baru untuk yang baru follow halo,1,neutral
@adith_wp Thanks. Semoga bisa ikut jejaknya #KaburAjaDulu ,thanks semoga bisa ikut jejaknya kaburajadulu,1,neutral
Buat yang mau #kaburajadulu dulu ke Jerman. Nih Jerman bikin skema imigrasi baru untuk skilled worker. Bisa masuk dan tinggal di sana selama setahun untuk tujuan mencari kerja. Yang penting punya biaya hidup pengalaman dan skill bahasa Inggris (B2). https://t.co/LwX18fpFoE,buat yang mau kaburajadulu dulu ke jerman nih jerman bikin skema imigrasi baru untuk skilled worker bisa masuk dan tinggal di sana selama setahun untuk tujuan mencari kerja yang penting punya biaya hidup pengalaman dan skill bahasa inggris b,1,neutral
@ainunnajib Mas ada lowongan? Etapi mau #kaburajadulu jalur istri,mas ada lowongan etapi mau kaburajadulu jalur istri,1,neutral
I sincerely pray for you guys to get the chance to #KaburAjaDulu. Our country is beyond salvation. Astaghfirullah marah banget gw ga ngerti lagi.,i sincerely pray for you guys tapi get the chance tapi kaburajadulu our country is beyond salvation astaghfirullah marah banget gue tidak mengerti lagi,2,negatif
hm sudah saatnya #KaburAjaDulu,hm sudah saatnya kaburajadulu,2,negatif
Yg punya kesempatan #KaburAjaDulu guys. Makin ga bener sialan.,yang punya kesempatan kaburajadulu guys makin tidak benar sialan,2,negatif
Semua peristiwa yang terjadi belakangan ini membuatku semakin bersemangat untuk terus belajar bahasa asing. Deutsch Schweiz Belgien Österreich warte auf mich. Ich werde da sein. #KaburAjaDulu https://t.co/EQD9jPdZYp,semua peristiwa yang terjadi belakangan ini membuatku semakin bersemangat untuk terus belajar bahasa asing deutsch schweiz belgien sterreich warte auf mich ich werde dah sein kaburajadulu,0,positif
at this point #KaburAjaDulu for those who can. Honestly I was thinking of returning to Indo after finishing my studies but with the recent escalation I d rather not. I m genuinely concerned for my relatives and friends. Sorrow sorrow prayers. https://t.co/THWLIYaCke,at this point kaburajadulu for those who can honestly i was thinking of returning tapi indonesia after finishing my studies but with the recent escalation i di rather not i sama genuinely concerned for my relatives and friends sorrow sorrow prayers,1,neutral
Bingung harus mulai dari mana untuk kabur? Yuk mampir https://t.co/oe7fcgdlrp #KaburAjaDulu,bingung harus mulai dari mana untuk kabur yuk mampir kaburajadulu,2,negatif
HOPE THAT HELPS LET ME KNOW KALO BUTUH2 INFO #KaburAjaDulu YA!!! I have gone through every single visa situationship (a roller coaster ride to move out) and now going towards my permanent residency so PROPER VALID EXPERIENCE &lt;3,hope that helps let me know kalau butuh info kaburajadulu ya i have gone through every single visa situationship a roller coaster ride tapi move out and now going towards my permanent residency sok proper valid eerience lantai,1,neutral
mutual ane yg pengen #KaburAjaDulu,mutual ane yang pengin kaburajadulu,2,negatif
@syifazzahrah Kak coba follow akun2 di tagar #KaburAjaDulu . Banyak yg suka share lowongan. Atau coba mantegin akunnya mas @primawansatrio ini yaa,kak coba follow akun di tagar kaburajadulu banyak yang suka share lowongan atau coba mantegin akunnya mas ini ya,1,neutral
guys sumpah AYO BERSAMA-SAMA BELAJAR BAHASA ASING TERUS ENTAH KULIAH/KERJA DI LUAR NEGERI DAN TERAPKAN #KaburAjaDulu,guys sumpah ayo bersamasama belajar bahasa asing terus entah kuliahkerja di luar negeri dan terapkan kaburajadulu,2,negatif
Ga semua goblok sih. Tp kan mayoritas goblok? Lha itu 58%. Udaaahhh #KaburAjaDulu Konstituen mereka yg educated aja ga peduli juga kok,tidak semua goblok sih tapi kan mayoritas goblok lah itu sudah kaburajadulu konstituen mereka yang educated saja tidak peduli juga kok,2,negatif
manifesting taun ini atau taun depan bisa ikutan ngetweet pake hashtag #KaburAjaDulu,manifesting tahun ini atau tahun depan bisa ikutan ngetweet pakai hashtag kaburajadulu,1,neutral
I ve reached my limit with the disgraceful behavior of this country s leaders. I m done. I have skills that are valuable anywhere and I need someone to help me get out of this country. #kawalkeputusanMK #KaburAjaDulu https://t.co/NjGKSyK5mA,i ve reached my limit with the disgraceful behavior of this country si leaders i sama done i have skills that are valuable anywhere and i need someone tapi help me get out of this country kawalkeputusanmk kaburajadulu,0,positif
Sekolah adl salah satu jalan untuk bisa #KaburAjaDulu,sekolah adalah salah satu jalan untuk bisa kaburajadulu,0,positif
@sofiesyarief Plot twist: Mereka juga penganut #KaburAjaDulu ,plot twist mereka juga penganut kaburajadulu,2,negatif
Demi deh.. Maujuga #KaburAjaDulu,demi deh maujuga kaburajadulu,2,negatif
@kararindra Kalo ada lowongan #KaburAjaDulu buat TA dan gak butuh Danish sama provide relocation sih mau banget,kalau ada lowongan kaburajadulu buat ta dan tidak butuh danish sama provide relocation sih mau banget,1,neutral
@denny_alfarisi Gue malah kepikirannya gapapa onsite tp #KaburAjaDulu Selebihnya masih suka ngehindarin fulltime onsite di Indo,gue malah kepikirannya gapapa onsite tapi kaburajadulu selebihnya masih suka ngehindarin fulltime onsite di indonesia,0,positif
@ohnoonaaa Cek tagar #KaburAjaDulu dan follow akun-akun yg sering share info cc @primawansatrio @praditdita,cek tagar kaburajadulu dan follow akunakun yang sering share info cc,1,neutral
Ga deng. Gue ada di barisan yg mau mencari kesempatan buat #KaburAjaDulu. Agaknya lelah ya bund terhadap semua yg terjadi disini. Kalo cara gue gabisa semoga bisa pake cara ikut ayang buat pindah dr sini,tidak deng gue ada di barisan yang mau mencari kesempatan buat kaburajadulu agaknya lelah ya bunda terhadap semua yang terjadi disini kalau cara gue gabisa semoga bisa pakai cara ikut ayang buat pindah dari sini,2,negatif
Kalo ada yg mau nanya2 S2 di Jerman jalur mandiri biaya miring feel free to DM legal ya. Kntr gw di SG lagi hire freezing sayangnya blum ada loker baru setelah ugal2an buka loker tahun lalu #KaburAjaDulu gw udah jompo ga kuat demo seklg sumbang doa terbaik buat indo dari rumah,kalau ada yang mau bertanya si di jerman jalur mandiri biaya miring feel free tapi dm legal ya kntr gue di sg lagi hire freezing sayangnya belum ada loker baru setelah ugalan buka loker tahun lalu kaburajadulu gue sudah jompo tidak kuat demo seklg sumbang doa terbaik buat indonesia dari rumah,2,negatif
#KaburAjaDulu itu cuma salah satu solusi sementara stresnya masih ada meskipun kayaknya sekarang lebih kecil,kaburajadulu itu cuma salah satu solusi sementara stresnya masih ada meskipun kayaknya sekarang lebih kecil,2,negatif
Buat kalian yang ingin #KaburAjaDulu ke Jerman bisa banget mulai sekarang belajar bahasa Jerman minimal A2/B1. Jerman sangat terbuka buat imigran yang penting ada skill bahasa dan rasa ingin belajar. Ada beberapa program yg bisa di coba 1. Aupair 2. FSJ/BFD 3. Ausbildung,buat kalian yang ingin kaburajadulu ke jerman bisa banget mulai sekarang belajar bahasa jerman minimal ab jerman sangat terbuka buat imigran yang penting ada skill bahasa dan rasa ingin belajar ada beberapa program yang bisa di coba aupair fsjbfd ausbildung,0,positif
Jangan dibuat suami cowo yang #KaburAjaDulu. Besok2 lo yang dikaburin. #DoneIntoTheScene,jangan dibuat suami cowok yang kaburajadulu besok lo yang dikaburin doneintothescene,2,negatif
@fraviato hahaha kondisi gini bikin kita mikir ya buat #KaburAjaDulu mlm td istri gw juga mikir buat ambil internal vacancy kantor dia pindah ke LN wkkwkw,hahaha kondisi begini bikin kita mikir ya buat kaburajadulu malam tadi istri gue juga mikir buat ambil internal vacancy kantor dia pindah ke ln wkkwkw,1,neutral
#KaburAjaDulu help aku lagi cari beasiswa s1 kimia / STEM dengn pendidikan terkahir yg aku punya adalah SMK Analis Kimia dengan pengalaman kerja 5 tahun di perusahaan farmasi sebagai analis kimia di bagian Quality Control analist Raw Material;Finished Goods; Stability Test,kaburajadulu help aku lagi cari beasiswa si kimia stem dengn pendidikan terkahir yang aku punya adalah smk analis kimia dengan pengalaman kerja tahun di perusahaan farmasi sebagai analis kimia di bagian quality control analist raw materialfinished goods stability test,1,neutral
#KaburAjaDulu aku sudah pernah ikut 4x beasiswa dan belum berkesempatan dapat huhu please let me know if its there any scholarship left huhu kebetulan aku gap year dr 2019 ,kaburajadulu aku sudah pernah ikut kali beasiswa dan belum berkesempatan dapat huhu please let me know if its there any scholarship left huhu kebetulan aku gap year dari,1,neutral
@fattahzuni Gas mari kabur bareng mas #KaburAjaDulu ,gas mari kabur bareng mas kaburajadulu,2,negatif
@mycelestialz I'm one of the #KaburAjaDulu people so I'm not in Indonesia anymore. I just keep on following the political situation via social media and it makes me so sad and angry for you guys ,im one of the kaburajadulu people sok im not ini indonesia anymore i just keep on following the political situation via social media and itu makes me sok sad and angry for you guys,2,negatif
Yok yang mau #KaburAjaDulu ke Jepang bisa ambil langkah pertama dengan join sharing sessionya mbak @praditdita,yuk yang mau kaburajadulu ke jepang bisa ambil langkah pertama dengan join sharing sessionya mbak,1,neutral
#KaburAjaDulu ke 🇯🇵,kaburajadulu ke,2,negatif
Yang berniat #KaburAjaDulu semoga dimudahkan semua.. Memori 11 tahun yg lalu https://t.co/4rL9CzANBC,yang berniat kaburajadulu semoga dimudahkan semua memori tahun yang lalu,2,negatif
@oshinyil Amiin #KaburAjaDulu. Indonesia tidak baik2 saja.,amin kaburajadulu indonesia tidak baik saja,2,negatif
@noviantiekasari #KaburAjaDulu buck,kaburajadulu buck,2,negatif
Istirahat dulu #KawalMK nya lanjut besok. Sekarang balik fokus ke #KaburAjaDulu lagi https://t.co/26t7zYPaPh,istirahat dulu kawalmk ya lanjut besok sekarang balik fokus ke kaburajadulu lagi,2,negatif
@ridwanadit Ntap. Ini apakah promosi #kaburajadulu? ,mantap ini apakah promosi kaburajadulu,0,positif
@UrSourceCode @ibamarief Mbak #KaburAjaDulu ini mah ,mbak kaburajadulu ini mah,2,negatif
@F2aldi Ohhh bener jg maaf kurang peka!! aamiinnn #kaburajadulu gak sie biar kaya dan bisa GA game???,oh benar juga maaf kurang peka amin kaburajadulu tidak sih biar kayak dan bisa tidak game,2,negatif
Saling bantu aja buat #KaburAjaDulu habis kencan nanti aku buatin beberapa persiapanku buat #KaburAjaDulu walaupun belum berhasil. Mungkin bisa jadi tmen2 ikut journey ku untuk bisa kerja di LN. Karena kalau mau lari jauh ya bareng2. Kalau lari cepet ya sendiri. Sebagai,saling bantu saja buat kaburajadulu habis kencan nanti aku membuat beberapa persiapanku buat kaburajadulu walaupun belum berhasil mungkin bisa jadi teman ikut journey ku untuk bisa kerja di ln karena kalau mau lari jauh ya bareng kalau lari cepat ya sendiri sebagai,1,neutral
@F2aldi Yang tertarik bisa DM saya. Salah satu cara #KaburAjaDulu adalah kerja di web3. Bisa kerja remote dari Indonesia tapi mereka gak akan bisa sentuh uang gajimu. LAWAN!,yang tertarik bisa dm saya salah satu cara kaburajadulu adalah kerja di web bisa kerja remote dari indonesia tapi mereka tidak akan bisa sentuh uang gajimu lawan,2,negatif
@F2aldi Walaupun #KaburAjaDulu udah berhasil tetep patuh pajak ya kawan2.,walaupun kaburajadulu sudah berhasil tetap patuh pajak ya kawan,2,negatif
@F2aldi Kaaak tolong share #KaburAjaDulu nya donggg. Sebagai remote worker ku siap kerja darimana aja. Tp untuk marketing zuzur sedikit emang hiks mostly di web3 dan IT/Enginer,kak tolong share kaburajadulu ya dong sebagai remote worker ku siap kerja darimana saja tapi untuk marketing zuzur sedikit memang hiks mostly di web dan itenginer,1,neutral
salah satu attempt untuk #KaburAjaDulu: modalin diri sendiri dengan bahasanya https://t.co/4LWPw9voj7,salah satu attempt untuk kaburajadulu modalin diri sendiri dengan bahasanya,2,negatif
INGPO #KaburAjaDulu,ingpo kaburajadulu,2,negatif
Ini asli lamaran pekerjaan gue. Bagi kalian yg mau kabur Thai &amp; Malay lagi buka banyak loker utk foreigner &amp; bbrp ada yg khusus local Indonesian. Semangat demi #KaburAjaDulu,ini asli lamaran pekerjaan gue bagi kalian yang mau kabur thai amp malay lagi buka banyak loker untuk foreigner amp beberapa ada yang khusus local indonesian semangat demi kaburajadulu,0,positif
@F2aldi mau #KaburAjaDulu dong mau upgrade pendapatan any tips guys buat yg sudah berkeluarga kaya gw role skrg full stacks dengan thp jkt,mau kaburajadulu dong mau upgrade pendapatan any tips guys buat yang sudah berkeluarga kayak gue role sekarang full stacks dengan thp jakarta,2,negatif
Salah satu alesan kenapa hashtag #KaburAjaDulu diterima baik di kalangan masyarakat adalah kebijakan pemerintah. *Dulu inget banget kalo ada yg ngetweet soal kabur ke LN pasti kena nyinyir banyak netijen langsung *Dulu itu tahun 2017an,salah satu alesan kenapa hashtag kaburajadulu diterima baik di kalangan masyarakat adalah kebijakan pemerintah dulu ingat banget kalau ada yang ngetweet soal kabur ke ln pasti kena nyinyir banyak netijen langsung dulu itu tahun an,2,negatif
Btw terima kasih yang baru aja follow terkait cari kerja di dunia web3 utk #KaburAjaDulu Tapi beberapa minggu ke depan postingan saya bakalan penuh dgn perpolitikan. Tetep bakal posting web3 tapi di grup TG web3 dev Bali yah.,btw terima kasih yang baru saja follow terkait cari kerja di dunia web untuk kaburajadulu tapi beberapa minggu ke depan postingan saya bakalan penuh dengan perpolitikan tetap bakal posting web tapi di grup tg web dev bali ya,1,neutral
Alhamdulillah habis gajian bisa nih buat ningkatin kemampuan Engineering skill dgn ambil JPP Basic Software Engineer. Biar makin siap buat #KaburAJaDulu Btw mau tanya min. Kalau misalkan ketinggalan pelajaran gmn cara ngejarnya? misal kek ga sempet belajar di Minggu 1 dan,alhamdulillah habis gajian bisa nih buat ningkatin kemampuan engineering skill dengan ambil jpp basic software engineer biar makin siap buat kaburajadulu btw mau tanya min kalau misalkan ketinggalan pelajaran bagaimana cara ngejarnya misal kayak tidak sempat belajar di minggu dan,0,positif
Niat #KaburAjaDulu semakin tekad T.T,niat kaburajadulu semakin tekad tt,2,negatif
Mau menyambung beberapa persiapan yang aku lakuin biar bisa #KaburAjaDulu . Cuman mau disklaimer aja kalau apa yang aku lakuin masih dalam proses jadi ya tidak ada jaminan ketrima aja haha Namun setidaknya aku tahu masalah ada dimana. https://t.co/xHkpgtnaOt,mau menyambung beberapa persiapan yang aku melakukan biar bisa kaburajadulu cuman mau disklaimer saja kalau apa yang aku melakukan masih dalam proses jadi ya tidak ada jaminan ketrima saja haha namun setidaknya aku tahu masalah ada dimana,2,negatif
another day another failure bismillah it's only a matter of N trials #KaburAjaDulu https://t.co/8C7DOJYhxJ,another day another failure bismillah its only a matter of n trials kaburajadulu,1,neutral
Halo kengkawan gimana kmaren JLPTnya? Yang 合格 dapet N2 punya ijazah S2 dan tertarik sama isu perubahan iklim dan Paris Agreement lowongan ini masih open lho. Lowongan yang satu lagi buat S3 juga masih buka. #kaburajadulu Minta tolong RT nya kak @hrdbacot https://t.co/uZiC6DsVP4,halo kengkawan bagaimana kemarin jlptnya yang dapat n punya ijazah si dan tertarik sama isu perubahan iklim dan paris agreement lowongan ini masih open lho lowongan yang satu lagi buat si juga masih buka kaburajadulu meminta tolong rt ya kak,1,neutral
 JP SPEAKER OPPORTUNITIES 1. Japanese interpreter in automotive industries #KaburAjaDulu 6-8 M JPY/year 2. Japanese helpdesk all graduates WFO Jakarta 7 M IDR/month. Both requires N2. Send your resume to primawan@satriocs.com with the subject JP interpreter/helpdesk - https://t.co/HlzHUlcDEX,jp speaker opportunities japanese interpreter ini automotive industries kaburajadulu sama jpyyear japanese helpdesk all graduates wfo jakarta sama idrmonth both requires n send your resume tapi primawancom with the subject jp interpreterhelpdesk,1,neutral
@hrdbacot #KaburAjaDulu lulus kuliah daftar kerja ke luar negeri keterima di Facebook Malaysia ngerefer banyak orang malah diangkat fulltime jadi recruiter di top 3 HR Consultant company dunia. Dari 2021 alhamdulillah kerja di HR company di Singapore dioffer by Linkedin. Tanpa daftar.,kaburajadulu lulus kuliah daftar kerja ke luar negeri keterima di facebook malaysia ngerefer banyak orang malah diangkat fulltime jadi recruiter di top hari consultant company dunia dari alhamdulillah kerja di hari company di singapore dioffer by linkedin tanpa daftar,0,positif
@hrdbacot Pengen #KaburAjaDulu jugaaakk,pengin kaburajadulu jugakk,2,negatif
@hrdbacot TEMEN TEMEN DOAIN GUE DONG SUPAYA CEPET #KaburAjaDulu DAN KULIAH KERJA DI LUAR NEGERI SECEPATNYA YA ALLAH GERAH BNGT GUE DI INDONESIA PEJABRUT DAN PEMERINTAHANNYA KEK TAI SMUA,teman teman doain gue dong supaya cepat kaburajadulu dan kuliah kerja di luar negeri secepatnya ya allah gerah banget gue di indonesia pejabrut dan pemerintahannya kayak tahi semua,2,negatif
Mau juga ikut #KaburAjaDulu,mau juga ikut kaburajadulu,2,negatif
ya allah tolong ijinin aku jadi part of #KaburAjaDulu manifesting sebelom 2030 udah bahagia aman tentram nyaman di luar negeri AMEN,ya allah tolong ijinin aku jadi part of kaburajadulu manifesting sebelom sudah bahagia aman tentram nyaman di luar negeri amin,0,positif
Kalo ada bisa bantu RT Mayan bantuin orang dapet gambaran buat #KaburAjaDulu,kalau ada bisa bantu rt lumayan bantuin orang dapat gambaran buat kaburajadulu,1,neutral
#kaburajadulu buat non-skilled workers ada gak sih? Pengalaman gue cuma jadi sekretaris ngurusin surat2 doang hiks. Mau upgrade diri bingung mulai darimana...,kaburajadulu buat nonskilled workers ada tidak sih pengalaman gue cuma jadi sekretaris mengurusi surat doang hiks mau upgrade diri bingung mulai darimana,2,negatif
oot dikit #kaburajadulu gw gagal tapi gw bersyukur. LOL. 2022 gw dapet OL dari startup singapore gw reject dan ambil startup indo (you know which one). 6 bulan setelah itu perusahaannya layoff besar Emang kehendak Allah jauh lebih besar dari keinginan hambanya.,oot dikit kaburajadulu gue gagal tapi gue bersyukur lol gue dapat ol dari startup singapore gue reject dan ambil startup indonesia you know which one bulan setelah itu perusahaannya layoff besar memang kehendak allah jauh lebih besar dari keinginan hambanya,2,negatif
idk man sekarang gaada kepikiran mau #kaburajadulu. Terbesit pernah tapi gak selewat aja. Gak pernah nge-khusus-in effort gitu.,idk man sekarang gaada kepikiran mau kaburajadulu terbesit pernah tapi tidak selewat saja tidak pernah ngekhususin effort begitu,2,negatif
@hrdbacot Beberapa hari terakhir kayaknya orang Indo kebagi dua: cari e-materai buat CPNS dan #KaburAjaDulu ,beberapa hari terakhir kayaknya orang indonesia terbagi dua cari ematerai buat cpns dan kaburajadulu,2,negatif
Bismillah #KaburAjaDulu,bismillah kaburajadulu,1,neutral
Negara ga malu apa ya sampai rakyatnya bikin hashtag #KaburAjaDulu yang isinya rakyat sharing opportunity buat keluar dari negara ini... harusnya malu ada demand sebesar ini. Berarti this country has failed us.,negara tidak malu apa ya sampai rakyatnya bikin hashtag kaburajadulu yang isinya rakyat sharing opportunity buat keluar dari negara ini harusnya malu ada demand sebesar ini berarti this country has failed us,2,negatif
anyway dulu sebelum ada hashtag #KaburAjaDulu gue punya hashtag personal #2019gantidomisili ,anyway dulu sebelum ada hashtag kaburajadulu gue punya hashtag personal gantidomisili,1,neutral
kita usahakan #KaburAjaDulu di awal 2025 itu,kita usahakan kaburajadulu di awal itu,2,negatif
2018 masih kuliah smt 6. Index prestasi ancur karena ngurusin organisasi. Waktu itu Pikiran kacau banget karena berangkat kuliah dulu harus adu bacot sama bapak yg pengen gw ke banjarmasin ngurusin Perusahaan suami kaka gw. Akhirnya pengen #KaburAjaDulu lalu....,masih kuliah smt index prestasi hancur karena mengurusi organisasi waktu itu pikiran kacau banget karena berangkat kuliah dulu harus adu bacot sama bapak yang pengin gue ke banjarmasin mengurusi perusahaan suami kakak gue akhirnya pengin kaburajadulu lalu,2,negatif
Fun fact! Cita-cita aku dulu tuh blueprint anak jogja rajin pada jamannya: lulus kuliah kuliah lagi jadi dosen (entah udah berapa banyak temenku yang jadi dosen wqwqwqwq) Tapi aku ga ketrima beasiswa di mana-mana lol jadi yaudah #KaburAjaDulu jadi budak korporat negara orang,fun fact citacita aku dulu tuh blueprint anak jogja rajin pada jamannya lulus kuliah kuliah lagi jadi dosen entah sudah berapa banyak temenku yang jadi dosen wqwqwqwq tapi aku tidak ketrima beasiswa di manamana lol jadi yaudah kaburajadulu jadi budak korporat negara orang,2,negatif
Ke Jerman jalur au pair beneran definisi #KaburAjaDulu. Modal nggak gede paling harus belajar bahasa dulu tapi A1 udah cukup kalau nekat. Keluar uang buat visa sama pesawat berangkat aja. Next step dipikir pas udah sampe sini ,ke jerman jalur au pair benaran definisi kaburajadulu modal tidak gede paling harus belajar bahasa dulu tapi a sudah cukup kalau nekat keluar uang buat visa sama pesawat berangkat saja next step dipikir pas sudah sampai sini,2,negatif
