full_text,stemming
Tren Brain Drain mjd ramai ketika #kaburajadulu di Twitter mencuat. Byk influencer yg sdh lbh dulu berkarier di luar mengajak kita utk ke luar dg berbagai macam alasan. Emangnya Brain Drain itu solusi? Yuk cari jawabannya di podcast saya bersama Mas Ozan: https://t.co/Bdztmh4zFV,tren brain drain mjd ramai kaburajadulu twitter cuat influencer karier ajak alas memang brain drain solusi yuk cari jawab podcast mas ozan
FYI buat yang #KaburAjaDulu,fyi kaburajadulu
@ezash @__airu___ @muhraufan @adith_wp Nyari info #KaburAjaDulu kah? Wkwkw ,cari info kaburajadulu kah wkwkw
#KaburAjaDulu ke Jepang :,kaburajadulu jepang
Jepang dulu juga punya mindset yang sama. Makanya lemah di Software. Ya menguntungkan kita juga sih karena jadi banyak org Indo yg #KaburAjaDulu gabung ke startup Jepang. Indo mau niru gitu juga?,jepang mindset lemah software ya untung sih orang indonesia kaburajadulu gabung startup jepang indonesia tiru
Bismillah mulai nyeriusin belajar bahasa asing buat #kaburajadulu dimulai dari bahasa inggris dulu.,bismillah nyeriusin ajar bahasa asing kaburajadulu bahasa inggris
bismillah semoga bisa #KaburAjaDulu di 2025 nanti. selalu bikin ill feel tiap kepikiran pajak yang dibayar buat pemerintah yang dan semoga bisa bantu teman dan keluarga buat kabur juga sebelum ni negara bubar dengan sendirinya,bismillah moga kaburajadulu bikin ill feel pikir pajak bayar perintah moga bantu teman keluarga kabur nih negara bubar
dahlah fix #KaburAjaDulu,dah fix kaburajadulu
#KaburAjaDulu .NET ,kaburajadulu net
@txtcybr Harus #kaburajadulu ya bang,kaburajadulu ya abang
@asepbensin15k Btuls #kaburajadulu,btuls kaburajadulu
Kayanya karena tweet lowongan dan #KaburAjaDulu beberapa hari lalu banyak follower baru... Untuk yang baru follow Halo!,kaya tweet lowong kaburajadulu follower follow halo
@adith_wp Thanks. Semoga bisa ikut jejaknya #KaburAjaDulu ,thanks moga jejak kaburajadulu
Buat yang mau #kaburajadulu dulu ke Jerman. Nih Jerman bikin skema imigrasi baru untuk skilled worker. Bisa masuk dan tinggal di sana selama setahun untuk tujuan mencari kerja. Yang penting punya biaya hidup pengalaman dan skill bahasa Inggris (B2). https://t.co/LwX18fpFoE,kaburajadulu jerman nih jerman bikin skema imigrasi skilled worker masuk tinggal tahun tuju cari kerja biaya hidup alam skill bahasa inggris b
@ainunnajib Mas ada lowongan? Etapi mau #kaburajadulu jalur istri,mas lowong etapi kaburajadulu jalur istri
I sincerely pray for you guys to get the chance to #KaburAjaDulu. Our country is beyond salvation. Astaghfirullah marah banget gw ga ngerti lagi.,i sincerely pray for you guys get the chance kaburajadulu our country is beyond salvation astaghfirullah marah banget gue erti
hm sudah saatnya #KaburAjaDulu,hm kaburajadulu
Yg punya kesempatan #KaburAjaDulu guys. Makin ga bener sialan.,sempat kaburajadulu guys sial
Semua peristiwa yang terjadi belakangan ini membuatku semakin bersemangat untuk terus belajar bahasa asing. Deutsch Schweiz Belgien Österreich warte auf mich. Ich werde da sein. #KaburAjaDulu https://t.co/EQD9jPdZYp,peristiwa buat semangat ajar bahasa asing deutsch schweiz belgien sterreich warte auf mich ich werde dah sein kaburajadulu
at this point #KaburAjaDulu for those who can. Honestly I was thinking of returning to Indo after finishing my studies but with the recent escalation I d rather not. I m genuinely concerned for my relatives and friends. Sorrow sorrow prayers. https://t.co/THWLIYaCke,at this point kaburajadulu for those who can honestly i was thinking of returning indonesia after finishing my studies but with the recent escalation i rather not i genuinely concerned for my relatives and friends sorrow sorrow prayers
Bingung harus mulai dari mana untuk kabur? Yuk mampir https://t.co/oe7fcgdlrp #KaburAjaDulu,bingung kabur yuk mampir kaburajadulu
HOPE THAT HELPS LET ME KNOW KALO BUTUH2 INFO #KaburAjaDulu YA!!! I have gone through every single visa situationship (a roller coaster ride to move out) and now going towards my permanent residency so PROPER VALID EXPERIENCE &lt;3,hope that helps let me know butuh info kaburajadulu ya i have gone through every single visa situationship a roller coaster ride move out and now going towards my permanent residency sok proper valid eerience lantai
mutual ane yg pengen #KaburAjaDulu,mutual ane pengin kaburajadulu
@syifazzahrah Kak coba follow akun2 di tagar #KaburAjaDulu . Banyak yg suka share lowongan. Atau coba mantegin akunnya mas @primawansatrio ini yaa,kak coba follow akun tagar kaburajadulu suka share lowong coba mantegin akun mas ya
guys sumpah AYO BERSAMA-SAMA BELAJAR BAHASA ASING TERUS ENTAH KULIAH/KERJA DI LUAR NEGERI DAN TERAPKAN #KaburAjaDulu,guys sumpah ayo bersamasama ajar bahasa asing kuliahkerja negeri terap kaburajadulu
Ga semua goblok sih. Tp kan mayoritas goblok? Lha itu 58%. Udaaahhh #KaburAjaDulu Konstituen mereka yg educated aja ga peduli juga kok,goblok sih mayoritas goblok kaburajadulu konstituen educated peduli
manifesting taun ini atau taun depan bisa ikutan ngetweet pake hashtag #KaburAjaDulu,manifesting ikut ngetweet pakai hashtag kaburajadulu
I ve reached my limit with the disgraceful behavior of this country s leaders. I m done. I have skills that are valuable anywhere and I need someone to help me get out of this country. #kawalkeputusanMK #KaburAjaDulu https://t.co/NjGKSyK5mA,i ve reached my limit with the disgraceful behavior of this country si leaders i done i have skills that are valuable anywhere and i need someone help me get out of this country kawalkeputusanmk kaburajadulu
Sekolah adl salah satu jalan untuk bisa #KaburAjaDulu,sekolah salah jalan kaburajadulu
@sofiesyarief Plot twist: Mereka juga penganut #KaburAjaDulu ,plot twist anut kaburajadulu
Demi deh.. Maujuga #KaburAjaDulu,deh maujuga kaburajadulu
@kararindra Kalo ada lowongan #KaburAjaDulu buat TA dan gak butuh Danish sama provide relocation sih mau banget,lowong kaburajadulu ta butuh danish provide relocation sih banget
@denny_alfarisi Gue malah kepikirannya gapapa onsite tp #KaburAjaDulu Selebihnya masih suka ngehindarin fulltime onsite di Indo,gue pikir gapapa onsite kaburajadulu lebih suka ngehindarin fulltime onsite indonesia
@ohnoonaaa Cek tagar #KaburAjaDulu dan follow akun-akun yg sering share info cc @primawansatrio @praditdita,cek tagar kaburajadulu follow akunakun share info cc
Ga deng. Gue ada di barisan yg mau mencari kesempatan buat #KaburAjaDulu. Agaknya lelah ya bund terhadap semua yg terjadi disini. Kalo cara gue gabisa semoga bisa pake cara ikut ayang buat pindah dr sini,deng gue baris cari sempat kaburajadulu lelah ya bunda gue gabisa moga pakai ayang pindah
Kalo ada yg mau nanya2 S2 di Jerman jalur mandiri biaya miring feel free to DM legal ya. Kntr gw di SG lagi hire freezing sayangnya blum ada loker baru setelah ugal2an buka loker tahun lalu #KaburAjaDulu gw udah jompo ga kuat demo seklg sumbang doa terbaik buat indo dari rumah,si jerman jalur mandiri biaya miring feel free dm legal ya kntr gue sg hire freezing sayang loker ugalan buka loker kaburajadulu gue jompo kuat demo seklg sumbang doa baik indonesia rumah
#KaburAjaDulu itu cuma salah satu solusi sementara stresnya masih ada meskipun kayaknya sekarang lebih kecil,kaburajadulu salah solusi stres kayak
Buat kalian yang ingin #KaburAjaDulu ke Jerman bisa banget mulai sekarang belajar bahasa Jerman minimal A2/B1. Jerman sangat terbuka buat imigran yang penting ada skill bahasa dan rasa ingin belajar. Ada beberapa program yg bisa di coba 1. Aupair 2. FSJ/BFD 3. Ausbildung,kaburajadulu jerman banget ajar bahasa jerman minimal ab jerman buka imigran skill bahasa ajar program coba aupair fsjbfd ausbildung
Jangan dibuat suami cowo yang #KaburAjaDulu. Besok2 lo yang dikaburin. #DoneIntoTheScene,suami cowok kaburajadulu besok lo dikaburin doneintothescene
@fraviato hahaha kondisi gini bikin kita mikir ya buat #KaburAjaDulu mlm td istri gw juga mikir buat ambil internal vacancy kantor dia pindah ke LN wkkwkw,hahaha kondisi bikin mikir ya kaburajadulu malam istri gue mikir ambil internal vacancy kantor pindah ln wkkwkw
#KaburAjaDulu help aku lagi cari beasiswa s1 kimia / STEM dengn pendidikan terkahir yg aku punya adalah SMK Analis Kimia dengan pengalaman kerja 5 tahun di perusahaan farmasi sebagai analis kimia di bagian Quality Control analist Raw Material;Finished Goods; Stability Test,kaburajadulu help cari beasiswa si kimia stem dengn didik terkahir smk analis kimia alam kerja usaha farmasi analis kimia quality control analist raw materialfinished goods stability test
#KaburAjaDulu aku sudah pernah ikut 4x beasiswa dan belum berkesempatan dapat huhu please let me know if its there any scholarship left huhu kebetulan aku gap year dr 2019 ,kaburajadulu kali beasiswa sempat huhu please let me know if its there any scholarship left huhu gap year
@fattahzuni Gas mari kabur bareng mas #KaburAjaDulu ,gas mari kabur bareng mas kaburajadulu
@mycelestialz I'm one of the #KaburAjaDulu people so I'm not in Indonesia anymore. I just keep on following the political situation via social media and it makes me so sad and angry for you guys ,im one of the kaburajadulu people sok im not indonesia anymore i just keep on following the political situation via social media and makes me sok sad and angry for you guys
Yok yang mau #KaburAjaDulu ke Jepang bisa ambil langkah pertama dengan join sharing sessionya mbak @praditdita,yuk kaburajadulu jepang ambil langkah join sharing sessionya mbak
Yang berniat #KaburAjaDulu semoga dimudahkan semua.. Memori 11 tahun yg lalu https://t.co/4rL9CzANBC,niat kaburajadulu moga mudah memori
@oshinyil Amiin #KaburAjaDulu. Indonesia tidak baik2 saja.,amin kaburajadulu indonesia
@noviantiekasari #KaburAjaDulu buck,kaburajadulu buck
Istirahat dulu #KawalMK nya lanjut besok. Sekarang balik fokus ke #KaburAjaDulu lagi https://t.co/26t7zYPaPh,istirahat kawalmk ya besok fokus kaburajadulu
@ridwanadit Ntap. Ini apakah promosi #kaburajadulu? ,mantap promosi kaburajadulu
@UrSourceCode @ibamarief Mbak #KaburAjaDulu ini mah ,mbak kaburajadulu mah
@F2aldi Ohhh bener jg maaf kurang peka!! aamiinnn #kaburajadulu gak sie biar kaya dan bisa GA game???,oh maaf peka amin kaburajadulu sih biar kayak game
Saling bantu aja buat #KaburAjaDulu habis kencan nanti aku buatin beberapa persiapanku buat #KaburAjaDulu walaupun belum berhasil. Mungkin bisa jadi tmen2 ikut journey ku untuk bisa kerja di LN. Karena kalau mau lari jauh ya bareng2. Kalau lari cepet ya sendiri. Sebagai,bantu kaburajadulu habis kencan siap kaburajadulu hasil teman journey ku kerja ln lari ya bareng lari cepat ya
@F2aldi Yang tertarik bisa DM saya. Salah satu cara #KaburAjaDulu adalah kerja di web3. Bisa kerja remote dari Indonesia tapi mereka gak akan bisa sentuh uang gajimu. LAWAN!,tarik dm salah kaburajadulu kerja web kerja remote indonesia sentuh uang gaji lawan
@F2aldi Walaupun #KaburAjaDulu udah berhasil tetep patuh pajak ya kawan2.,kaburajadulu hasil patuh pajak ya kawan
@F2aldi Kaaak tolong share #KaburAjaDulu nya donggg. Sebagai remote worker ku siap kerja darimana aja. Tp untuk marketing zuzur sedikit emang hiks mostly di web3 dan IT/Enginer,kak tolong share kaburajadulu ya remote worker ku kerja darimana marketing zuzur hiks mostly web itenginer
salah satu attempt untuk #KaburAjaDulu: modalin diri sendiri dengan bahasanya https://t.co/4LWPw9voj7,salah attempt kaburajadulu modalin bahasa
INGPO #KaburAjaDulu,ingpo kaburajadulu
Ini asli lamaran pekerjaan gue. Bagi kalian yg mau kabur Thai &amp; Malay lagi buka banyak loker utk foreigner &amp; bbrp ada yg khusus local Indonesian. Semangat demi #KaburAjaDulu,asli lamar kerja gue kabur thai amp malay buka loker foreigner amp khusus local indonesian semangat kaburajadulu
@F2aldi mau #KaburAjaDulu dong mau upgrade pendapatan any tips guys buat yg sudah berkeluarga kaya gw role skrg full stacks dengan thp jkt,kaburajadulu upgrade dapat any tips guys keluarga kayak gue role full stacks thp jakarta
Salah satu alesan kenapa hashtag #KaburAjaDulu diterima baik di kalangan masyarakat adalah kebijakan pemerintah. *Dulu inget banget kalo ada yg ngetweet soal kabur ke LN pasti kena nyinyir banyak netijen langsung *Dulu itu tahun 2017an,salah alesan hashtag kaburajadulu terima kalang masyarakat bijak perintah banget ngetweet kabur ln kena nyinyir netijen langsung an
Btw terima kasih yang baru aja follow terkait cari kerja di dunia web3 utk #KaburAjaDulu Tapi beberapa minggu ke depan postingan saya bakalan penuh dgn perpolitikan. Tetep bakal posting web3 tapi di grup TG web3 dev Bali yah.,btw terima kasih follow kait cari kerja dunia web kaburajadulu minggu postingan penuh politik posting web grup tg web dev bal ya
Alhamdulillah habis gajian bisa nih buat ningkatin kemampuan Engineering skill dgn ambil JPP Basic Software Engineer. Biar makin siap buat #KaburAJaDulu Btw mau tanya min. Kalau misalkan ketinggalan pelajaran gmn cara ngejarnya? misal kek ga sempet belajar di Minggu 1 dan,alhamdulillah habis gaji nih ningkatin mampu engineering skill ambil jpp basic software engineer biar kaburajadulu btw min tinggal ajar ngejarnya kayak ajar minggu
Niat #KaburAjaDulu semakin tekad T.T,niat kaburajadulu tekad tt
Mau menyambung beberapa persiapan yang aku lakuin biar bisa #KaburAjaDulu . Cuman mau disklaimer aja kalau apa yang aku lakuin masih dalam proses jadi ya tidak ada jaminan ketrima aja haha Namun setidaknya aku tahu masalah ada dimana. https://t.co/xHkpgtnaOt,sambung siap biar kaburajadulu cuman disklaimer proses ya jamin ketrima haha mana
another day another failure bismillah it's only a matter of N trials #KaburAjaDulu https://t.co/8C7DOJYhxJ,another day another failure bismillah its only a matter of n trials kaburajadulu
Halo kengkawan gimana kmaren JLPTnya? Yang 合格 dapet N2 punya ijazah S2 dan tertarik sama isu perubahan iklim dan Paris Agreement lowongan ini masih open lho. Lowongan yang satu lagi buat S3 juga masih buka. #kaburajadulu Minta tolong RT nya kak @hrdbacot https://t.co/uZiC6DsVP4,halo kengkawan kemarin jlptnya n ijazah si tarik isu ubah iklim paris agreement lowong open lho lowong si buka kaburajadulu tolong rt ya kak
 JP SPEAKER OPPORTUNITIES 1. Japanese interpreter in automotive industries #KaburAjaDulu 6-8 M JPY/year 2. Japanese helpdesk all graduates WFO Jakarta 7 M IDR/month. Both requires N2. Send your resume to primawan@satriocs.com with the subject JP interpreter/helpdesk - https://t.co/HlzHUlcDEX,jp speaker opportunities japanese interpreter automotive industries kaburajadulu jpyyear japanese helpdesk all graduates wfo jakarta idrmonth both requires n send your resume primawancom with the subject jp interpreterhelpdesk
@hrdbacot #KaburAjaDulu lulus kuliah daftar kerja ke luar negeri keterima di Facebook Malaysia ngerefer banyak orang malah diangkat fulltime jadi recruiter di top 3 HR Consultant company dunia. Dari 2021 alhamdulillah kerja di HR company di Singapore dioffer by Linkedin. Tanpa daftar.,kaburajadulu lulus kuliah daftar kerja negeri terima facebook malaysia ngerefer orang angkat fulltime recruiter top consultant company dunia alhamdulillah kerja company singapore dioffer by linkedin daftar
@hrdbacot Pengen #KaburAjaDulu jugaaakk,pengin kaburajadulu jugakk
@hrdbacot TEMEN TEMEN DOAIN GUE DONG SUPAYA CEPET #KaburAjaDulu DAN KULIAH KERJA DI LUAR NEGERI SECEPATNYA YA ALLAH GERAH BNGT GUE DI INDONESIA PEJABRUT DAN PEMERINTAHANNYA KEK TAI SMUA,teman teman doain gue cepat kaburajadulu kuliah kerja negeri cepat ya allah gerah banget gue indonesia pejabrut perintah kayak tahi
ya allah tolong ijinin aku jadi part of #KaburAjaDulu manifesting sebelom 2030 udah bahagia aman tentram nyaman di luar negeri AMEN,ya allah tolong ijinin part of kaburajadulu manifesting bom bahagia aman tentram nyaman negeri amin
Kalo ada bisa bantu RT Mayan bantuin orang dapet gambaran buat #KaburAjaDulu,bantu rt lumayan bantuin orang gambar kaburajadulu
#kaburajadulu buat non-skilled workers ada gak sih? Pengalaman gue cuma jadi sekretaris ngurusin surat2 doang hiks. Mau upgrade diri bingung mulai darimana...,kaburajadulu nonskilled workers sih alam gue sekretaris urus surat doang hiks upgrade bingung darimana
oot dikit #kaburajadulu gw gagal tapi gw bersyukur. LOL. 2022 gw dapet OL dari startup singapore gw reject dan ambil startup indo (you know which one). 6 bulan setelah itu perusahaannya layoff besar Emang kehendak Allah jauh lebih besar dari keinginan hambanya.,oot dikit kaburajadulu gue gagal gue syukur lol gue ol startup singapore gue reject ambil startup indonesia you know which one usaha layoff hendak allah hamba
idk man sekarang gaada kepikiran mau #kaburajadulu. Terbesit pernah tapi gak selewat aja. Gak pernah nge-khusus-in effort gitu.,idk man gaada pikir kaburajadulu besit lewat ngekhususin effort
@hrdbacot Beberapa hari terakhir kayaknya orang Indo kebagi dua: cari e-materai buat CPNS dan #KaburAjaDulu ,kayak orang indonesia bagi cari ematerai cpns kaburajadulu
Bismillah #KaburAjaDulu,bismillah kaburajadulu
Negara ga malu apa ya sampai rakyatnya bikin hashtag #KaburAjaDulu yang isinya rakyat sharing opportunity buat keluar dari negara ini... harusnya malu ada demand sebesar ini. Berarti this country has failed us.,negara malu ya rakyat bikin hashtag kaburajadulu isi rakyat sharing opportunity negara malu demand this country has failed us
anyway dulu sebelum ada hashtag #KaburAjaDulu gue punya hashtag personal #2019gantidomisili ,anyway hashtag kaburajadulu gue hashtag personal gantidomisili
kita usahakan #KaburAjaDulu di awal 2025 itu,usaha kaburajadulu
2018 masih kuliah smt 6. Index prestasi ancur karena ngurusin organisasi. Waktu itu Pikiran kacau banget karena berangkat kuliah dulu harus adu bacot sama bapak yg pengen gw ke banjarmasin ngurusin Perusahaan suami kaka gw. Akhirnya pengen #KaburAjaDulu lalu....,kuliah smt index prestasi hancur urus organisasi pikir kacau banget berangkat kuliah adu bacot pengin gue banjarmasin urus usaha suami kakak gue pengin kaburajadulu
Fun fact! Cita-cita aku dulu tuh blueprint anak jogja rajin pada jamannya: lulus kuliah kuliah lagi jadi dosen (entah udah berapa banyak temenku yang jadi dosen wqwqwqwq) Tapi aku ga ketrima beasiswa di mana-mana lol jadi yaudah #KaburAjaDulu jadi budak korporat negara orang,fun fact citacita tuh blueprint anak jogja rajin jaman lulus kuliah kuliah dosen temenku dosen wqwqwqwq ketrima beasiswa manamana lol yaudah kaburajadulu budak korporat negara orang
Ke Jerman jalur au pair beneran definisi #KaburAjaDulu. Modal nggak gede paling harus belajar bahasa dulu tapi A1 udah cukup kalau nekat. Keluar uang buat visa sama pesawat berangkat aja. Next step dipikir pas udah sampe sini ,jerman jalur au pair benar definisi kaburajadulu modal gede ajar bahasa a nekat uang visa pesawat berangkat next step pikir pas
@hrdbacot bismillah lagi bikin jalan buat #KaburAjaDulu karna duit dan skill masih memantaskan,bismillah bikin jalan kaburajadulu duit skill pantas
@praditdita Nantikan versi gue #KaburAjaDulu 2 tahun ke depan kerja dan kuliah di luar negeri.,nanti versi gue kaburajadulu kerja kuliah negeri
#KaburAjaDulu 2017 gw minggat dr Indo alasan utamanya krn gw ga sudi bayar pajak buat pemerintah yg ga mengakui equality utk lgbt. Jmn2 itu lgbt issue sllu jd gorengan. Cm kebetulan otak gw bs dipakai kuliah teknik lanjut kerja. Udh 7.5th ngejongkrok dsini cm pindah2 kota aja.,kaburajadulu gue minggat indonesia alas utama gue sudi bayar pajak perintah aku equality lgbt jmn lgbt issue goreng otak gue pakai kuliah teknik kerja ngejongkrok pindah kota
@hrdbacot Bismillah semoga ada jalannya #KaburAjaDulu sbg Regulatory officer or medical/pharmaceutical rep di negara yg bisa modal bhs inggris.,bismillah moga jalan kaburajadulu regulatory officer orang medicalpharmaceutical rep negara modal bahasa inggris
#KaburAjaDulu versi gw ga jauh ama bule hunter alias jalur diboyong pacar ,kaburajadulu versi gue bule hunter alias jalur boyong pacar
@hrdbacot buruan kabur. ini negara makin sakit. skrng ke LN byk kesempatan tapi byk juga peminatnya. pengalaman saya kerja ke korea ujian manufaktur aja yg daftar tahun ini 40rb lebih yg lolos 7rban. itupun gk menjamin dpt kerja. mau #KaburAjaDulu juga harus tetep berjuang,buru kabur negara sakit ln sempat minat alam kerja korea uji manufaktur daftar ribu lolos rban itu jamin kerja kaburajadulu juang
@hrdbacot Skrg bisa krj informal gaji mayan Alhamdulillah Pokoknya mah #KaburAjaDulu klo ada kesempatan Jgn ngubek d indo aja..sakit hati nanti ,krj informal gaji lumayan alhamdulillah pokok mah kaburajadulu sempat ngubek indonesia ajasakit hati
ga boleh asal #KaburAjaDulu harus ada risk assessment jg intinya jgn nekat https://t.co/yd03i5FQJL,kaburajadulu risk assessment inti nekat
@tidakmandii @hrdbacot Aku juga lagi #KaburAjaDulu proses mo ke jepang baru kepkiran akhir juni kmaren dri dlu ditawarin gamau Akhirnya stlh liat keadaan indo yg gajelas ini kuputuskan buat iya dan nekat. Btw kakanya keren bgt bisa jlpt pasti pusing bgt yaaku menyayangkan aku yg ga belajar dr dlu:(,kaburajadulu proses jepang kepkiran juni kemarin ditawarin gamau lihat indonesia gajelas putus iya nekat btw kakak keren banget jlpt pusing banget yaaku sayang ajar
@hrdbacot Lagi usahain buat #KaburAjaDulu ni mincot di salah satu negara. Udah mulai belajar bahasa sana dan urus persyaratan lain doain lancar yaa mincot ,usahain kaburajadulu nih mincot salah negara ajar bahasa urus syarat doain lancar ya mincot
@hrdbacot Suamiku daftar iseng doang dikirimin info sm temennya ga expect apa2 skrg udah mau jalan 3th di bangkok. #KaburAjaDulu,suami daftar iseng doang dikirimin info teman eect jalan bangkok kaburajadulu
@hrdbacot #KaburAjaDulu oot dikit sih tapi disini ada yang pejuang azubi?? Mau berjuang+nyambat bareng sambil hafalan der die das ga? Butuh motivasi buat belajar sambil kerja,kaburajadulu oot dikit sih juang azubi berjuangnyambat bareng hafal der die das butuh motivasi ajar kerja
2012 abis lulus kuliah ikut aupair ke Jerman niat cuma #KaburAjaDulu buat 1 tahun. Eh malah ditawarin lanjut Master sama host family ketemu sama suami kerja kelar master punya anak. Malah keterusan kaburnya ,habis lulus kuliah aupair jerman niat kaburajadulu eh ditawarin master host family ketemu suami kerja kelar master anak terus kabur
Ya Allah manifesting jadi bagian dari #KaburAjaDulu Pengen keluar dari sini. Meskipun ada aja cobaannya. Bismillah ,ya allah manifesting kaburajadulu pengin coba bismillah
@hrdbacot Ini ga ada yg non engineer? Tolong berikan harapan buat gue orang marketing yang pengen #KaburAjaDulu juga ,non engineer tolong harap gue orang marketing pengin kaburajadulu
@hrdbacot PLISS INI MODAL NEKAT DAN USAHA untuk #KaburAjaDulu semua ku usahakan buat bisa kerja ke luar negeri ,pliss modal nekat usaha kaburajadulu ku usaha kerja negeri
Sbg yg udh nyemplung jd pegawai pemerintah sih kalau ada kesempatan gas #KaburAjaDulu udah paling bener Kl liat dalem2nya pemerintahan emang beneran suram yorobun kamipun yg kerja di dalemnya muakkkkk,nyemplung pegawai perintah sih sempat gas kaburajadulu lihat dalem perintah benar suram yorobun kami kerja dalem muak
Lulusan pendidikan mau #KaburAjaDulu lewat mana ya kakak-kakak tolong insight nya pendidikan Bahasa asing sih sebenarnya.,lulus didik kaburajadulu ya kakakkakak tolong insight ya didik bahasa asing sih
@praditdita aku kaak.. #KaburAjaDulu walau banyak yg menyayangkan karena aku lulusan Desain S1 malah milih kabur lewat jalur Kasar (Kerja Pabrik Tokutei Ginou) sebenenrya mau coba Lgsg engeneer tp aku less information sama skill bahasa amsih kureng juga :(,kak kaburajadulu sayang lulus desain si pilih kabur jalur kasar kerja pabrik tokutei ginou sebenenrya coba langsung engeneer less information skill bahasa amsih reng
@hrdbacot Ya allah semoga saya juga bisa #KaburAjaDulu,ya allah moga kaburajadulu
Role model #KaburAjaDulu Habis kabur: Produktip Tambah Hardcore Cendol di Github makin stonks ,role model kaburajadulu habis kabur produktip hardcore cendol github stonks
@irvifa Umur ngaruh gk ya? pengen #KaburAjaDulu tapi udah late 20s dan sangat minim pengalaman + switch career‍️,umur ngaruh ya pengin kaburajadulu late si minim alam switch career
#KaburAjaDulu adalah sebuah harapan dan motivasi diri ini,kaburajadulu harap motivasi
Melihat banyaknya cerita #KaburAjaDulu Ayo temen2 kalian harus kabur segera! Inget wapres kamu fufufafa,banyak cerita kaburajadulu ayo teman kabur wapres fufufafa
